user_a,user_b,qualified_common_genre_count,total_common_movies,rating_diff_stddev,avg_abs_rating_diff,common_genres
88,451,19,416,0.7413,0.6743,Action:166; Adventure:128; Animation:20; Children:22; Comedy:185; Crime:79; Documentary:4; Drama:136; Fantasy:46; Film-Noir:3; Horror:32; IMAX:13; Musical:14; Mystery:26; Romance:62; Sci-Fi:101; Thriller:116; War:15; Western:9
128,228,19,339,0.7485,0.6785,Action:156; Adventure:89; Animation:18; Children:17; Comedy:111; Crime:91; Documentary:4; Drama:108; Fantasy:34; Film-Noir:5; Horror:47; IMAX:7; Musical:7; Mystery:39; Romance:34; Sci-Fi:85; Thriller:144; War:19; Western:7
128,232,18,611,0.7269,0.6997,Action:243; Adventure:144; Animation:46; Children:43; Comedy:266; Crime:108; Documentary:9; Drama:173; Fantasy:79; Horror:100; IMAX:44; Musical:15; Mystery:70; Romance:55; Sci-Fi:157; Thriller:241; War:15; Western:8
88,220,18,394,0.718,0.736,Action:143; Adventure:104; Animation:20; Children:28; Comedy:180; Crime:68; Drama:136; Fantasy:52; Film-Noir:4; Horror:33; IMAX:5; Musical:21; Mystery:21; Romance:68; Sci-Fi:78; Thriller:103; War:18; Western:13
88,128,18,323,0.7489,0.6842,Action:135; Adventure:87; Animation:17; Children:18; Comedy:129; Crime:89; Drama:109; Fantasy:32; Film-Noir:3; Horror:32; IMAX:12; Musical:9; Mystery:34; Romance:39; Sci-Fi:77; Thriller:115; War:13; Western:4
88,213,18,269,0.6804,0.5781,Action:85; Adventure:72; Animation:16; Children:26; Comedy:107; Crime:49; Drama:103; Fantasy:39; Film-Noir:5; Horror:18; IMAX:5; Musical:11; Mystery:18; Romance:54; Sci-Fi:47; Thriller:65; War:13; Western:7
137,310,18,181,0.7312,0.7486,Action:35; Adventure:41; Animation:16; Children:16; Comedy:83; Crime:38; Documentary:5; Drama:100; Fantasy:16; Horror:4; IMAX:3; Musical:6; Mystery:10; Romance:40; Sci-Fi:13; Thriller:27; War:10; Western:4
88,137,18,172,0.653,0.6802,Action:31; Adventure:37; Animation:12; Children:14; Comedy:93; Crime:26; Documentary:4; Drama:79; Fantasy:17; Horror:6; IMAX:4; Musical:5; Mystery:7; Romance:37; Sci-Fi:13; Thriller:25; War:8; Western:4
220,628,18,158,0.7177,0.6899,Action:53; Adventure:46; Animation:14; Children:14; Comedy:55; Crime:26; Documentary:3; Drama:65; Fantasy:24; Horror:8; IMAX:3; Musical:7; Mystery:11; Romance:25; Sci-Fi:33; Thriller:38; War:11; Western:5
220,560,17,310,0.673,0.8839,Action:121; Adventure:115; Animation:31; Children:44; Comedy:142; Crime:43; Drama:81; Fantasy:63; Horror:38; IMAX:4; Musical:29; Mystery:16; Romance:46; Sci-Fi:69; Thriller:76; War:8; Western:7
88,560,17,290,0.6876,0.5086,Action:121; Adventure:102; Animation:16; Children:27; Comedy:135; Crime:46; Drama:75; Fantasy:47; Horror:28; IMAX:5; Musical:21; Mystery:16; Romance:44; Sci-Fi:84; Thriller:80; War:8; Western:7
232,576,17,288,0.7486,0.6372,Action:91; Adventure:68; Animation:35; Children:30; Comedy:191; Crime:53; Drama:81; Fantasy:36; Horror:3; IMAX:17; Musical:7; Mystery:9; Romance:45; Sci-Fi:28; Thriller:59; War:17; Western:6
88,232,17,286,0.7425,0.5647,Action:114; Adventure:85; Animation:20; Children:24; Comedy:131; Crime:50; Documentary:3; Drama:83; Fantasy:43; Horror:28; IMAX:16; Musical:11; Mystery:25; Romance:43; Sci-Fi:76; Thriller:87; War:6
220,232,17,282,0.7422,0.6543,Action:90; Adventure:83; Animation:24; Children:41; Comedy:138; Crime:31; Documentary:3; Drama:74; Fantasy:61; Horror:38; IMAX:5; Musical:16; Mystery:19; Romance:38; Sci-Fi:60; Thriller:78; War:4
88,113,17,272,0.6632,0.9007,Action:83; Adventure:62; Animation:9; Children:13; Comedy:146; Crime:44; Drama:110; Fantasy:26; Horror:6; IMAX:10; Musical:9; Mystery:17; Romance:68; Sci-Fi:51; Thriller:55; War:12; Western:8
232,599,17,271,0.7128,0.6365,Action:157; Adventure:71; Animation:12; Children:11; Comedy:69; Crime:51; Drama:85; Fantasy:36; Horror:64; IMAX:27; Musical:3; Mystery:35; Romance:14; Sci-Fi:87; Thriller:141; War:12; Western:4
