movieId,title,rating_count,avg_rating
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),22,4.477
1248,Touch of Evil (1958),21,4.476
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),37,4.459
318,"Shawshank Redemption, The (1994)",308,4.455
66934,Dr. Horrible's Sing-Along Blog (2008),23,4.435
1217,Ran (1985),31,4.403
923,Citizen Kane (1941),77,4.396
858,"Godfather, The (1972)",210,4.393
92259,Intouchables (2011),23,4.391
3000,Princess Mononoke (Mononoke-hime) (1997),52,4.385
