userId,genre_rank,genre,watch_count,avg_user_genre_rating
1,1,Crime,31,4.21
1,2,War,10,4.2
1,3,Animation,2,4.0
1,4,Film-Noir,2,4.0
1,5,IMAX,4,3.875
2,1,Animation,2,4.5
2,2,Drama,11,4.364
2,3,Children,3,4.333
2,4,Crime,3,4.333
2,5,Fantasy,4,4.25
3,1,Mystery,4,4.25
3,2,Crime,12,4.0
3,3,Western,3,4.0
3,4,Horror,2,4.0
3,5,IMAX,2,4.0
4,1,Animation,4,4.75
4,2,War,16,4.563
4,3,Mystery,10,4.4
4,4,Drama,76,4.342
4,5,Children,6,4.333
5,1,IMAX,9,4.278
5,2,Animation,21,4.095
5,3,Musical,11,4.091
5,4,Children,21,3.905
5,5,Fantasy,16,3.844
6,1,Musical,2,4.5
6,2,Romance,15,4.367
6,3,Crime,11,4.364
6,4,Sci-Fi,12,4.333
6,5,Drama,31,4.258
7,1,Mystery,18,3.861
7,2,Crime,31,3.855
7,3,Romance,6,3.833
7,4,Action,95,3.737
7,5,Thriller,71,3.718
8,1,Animation,3,4.333
8,2,Mystery,3,4.333
8,3,Children,6,4.167
8,4,Drama,30,4.133
8,5,Fantasy,6,4.0
9,1,Crime,23,3.087
9,2,War,5,3.0
9,3,Thriller,45,2.867
9,4,Action,39,2.846
9,5,Adventure,21,2.81
10,1,Animation,2,4.25
10,2,Children,2,4.25
10,3,Crime,2,4.0
10,4,Romance,8,3.625
10,5,Comedy,10,3.6
11,1,Horror,4,4.0
11,2,Sci-Fi,21,3.905
11,3,Animation,13,3.846
11,4,Adventure,32,3.813
11,5,War,3,3.667
12,1,Fantasy,4,4.125
12,2,Adventure,2,4.0
12,3,Western,3,3.667
12,4,Comedy,8,3.563
12,5,Romance,6,3.5
13,1,Mystery,4,3.875
13,2,Drama,11,3.727
13,3,Fantasy,4,3.625
13,4,Comedy,10,3.6
13,5,Crime,7,3.5
14,1,Children,3,4.333
14,2,Fantasy,3,4.0
14,3,Sci-Fi,2,4.0
14,4,Drama,6,3.667
14,5,Comedy,12,3.583
15,1,Romance,12,5.0
15,2,Animation,3,5.0
15,3,Children,3,5.0
15,4,War,2,5.0
15,5,Mystery,5,4.9
16,1,Horror,9,4.667
16,2,Mystery,8,4.5
16,3,Sci-Fi,22,4.455
16,4,Action,36,4.333
16,5,Thriller,36,4.25
17,1,Animation,10,4.7
17,2,Mystery,11,4.5
17,3,Children,12,4.375
17,4,Sci-Fi,41,4.317
17,5,Adventure,58,4.293
18,1,Mystery,15,4.033
18,2,Animation,8,3.938
18,3,Romance,14,3.893
18,4,Fantasy,13,3.692
18,5,Crime,24,3.688
19,1,Documentary,2,4.25
19,2,War,17,4.118
19,3,Drama,74,3.858
19,4,Mystery,3,3.833
19,5,Romance,12,3.667
20,1,IMAX,3,4.333
20,2,Mystery,7,4.214
20,3,Thriller,9,4.167
20,4,Crime,8,3.938
20,5,Adventure,7,3.929
21,1,War,7,4.071
21,2,Adventure,49,4.02
21,3,Animation,19,4.0
21,4,Fantasy,34,3.985
21,5,IMAX,20,3.925
22,1,Animation,13,3.769
22,2,Drama,77,3.448
22,3,Mystery,15,3.433
22,4,Crime,31,3.387
22,5,Thriller,42,3.226
23,1,War,5,3.8
23,2,Romance,8,3.75
23,3,Horror,2,3.75
23,4,Documentary,5,3.7
23,5,Mystery,8,3.688
24,1,Film-Noir,17,4.706
24,2,War,36,4.222
24,3,Romance,39,4.179
24,4,Mystery,48,4.104
24,5,Crime,69,4.043
25,1,War,3,4.0
25,2,Mystery,4,3.5
25,3,Animation,5,3.4
25,4,Adventure,18,3.167
25,5,Musical,9,3.0
26,1,Crime,3,4.5
26,2,Fantasy,4,3.75
26,3,Drama,8,3.5
26,4,Children,3,3.5
26,5,Animation,2,3.5
27,1,Crime,5,4.6
27,2,War,3,4.333
27,3,Romance,11,4.182
27,4,Drama,14,4.143
27,5,Comedy,32,4.125
28,1,Horror,4,4.0
28,2,IMAX,3,4.0
28,3,Animation,4,3.75
28,4,Romance,35,3.714
28,5,Sci-Fi,21,3.714
29,1,IMAX,3,3.667
29,2,Sci-Fi,44,3.614
29,3,Horror,9,3.556
29,4,Mystery,17,3.471
29,5,Adventure,61,3.459
30,1,IMAX,11,4.318
30,2,Action,45,4.144
30,3,Crime,12,4.125
30,4,Drama,30,4.0
30,5,Horror,2,4.0
31,1,War,4,4.25
31,2,Drama,27,4.0
31,3,Romance,8,4.0
31,4,Horror,2,4.0
31,5,Crime,14,3.929
32,1,Film-Noir,4,4.75
32,2,War,27,4.481
32,3,Crime,29,4.448
32,4,Drama,132,4.356
32,5,Mystery,17,4.353
33,1,Fantasy,2,4.5
33,2,War,8,4.375
33,3,Mystery,9,4.333
33,4,Children,3,4.333
33,5,Film-Noir,4,4.25
34,1,Musical,3,4.667
34,2,Mystery,3,4.667
34,3,Sci-Fi,5,4.6
34,4,Adventure,7,4.571
34,5,Animation,2,4.5
35,1,Crime,7,4.429
35,2,Comedy,13,3.923
35,3,Drama,6,3.833
35,4,Action,13,3.769
35,5,Romance,4,3.75
36,1,Crime,7,4.0
36,2,War,4,4.0
36,3,Animation,3,4.0
36,4,Children,3,4.0
36,5,Musical,3,4.0
37,1,Film-Noir,7,4.571
37,2,Mystery,10,4.55
37,3,Crime,16,4.406
37,4,Fantasy,2,4.25
37,5,Thriller,7,4.143
38,1,Crime,29,3.621
38,2,Mystery,20,3.475
38,3,Drama,103,3.257
38,4,Musical,60,3.183
38,5,IMAX,51,3.157
39,1,Romance,3,4.667
39,2,Animation,3,4.333
39,3,Children,3,4.333
39,4,Comedy,7,4.286
39,5,Drama,11,4.273
40,1,Crime,2,4.0
40,2,Comedy,10,3.5
40,3,Romance,7,3.429
40,4,Thriller,14,3.0
40,5,Mystery,7,3.0
41,1,IMAX,2,4.75
41,2,Children,17,4.618
41,3,Musical,9,4.556
41,4,Adventure,14,4.536
41,5,Animation,15,4.367
42,1,Musical,3,4.833
42,2,Animation,4,4.75
42,3,Romance,27,4.685
42,4,Fantasy,6,4.583
42,5,Children,5,4.5
43,1,Mystery,2,4.25
43,2,Drama,10,3.75
43,3,Thriller,2,3.75
43,4,War,2,3.5
43,5,Fantasy,4,3.125
44,1,Film-Noir,4,4.5
44,2,Children,15,3.633
44,3,Mystery,19,3.579
44,4,Fantasy,32,3.578
44,5,Romance,26,3.519
45,1,Crime,12,4.167
45,2,War,7,4.143
45,3,Thriller,10,4.0
45,4,Sci-Fi,7,4.0
45,5,Mystery,4,4.0
46,1,War,3,4.667
46,2,Mystery,4,4.25
46,3,Adventure,9,4.222
46,4,Crime,12,4.083
46,5,Drama,35,4.057
47,1,Musical,5,4.6
47,2,Fantasy,7,4.571
47,3,Documentary,2,4.5
47,4,Children,11,4.455
47,5,Sci-Fi,5,4.4
48,1,Drama,5,4.1
48,2,Crime,3,4.0
48,3,Romance,3,3.833
48,4,Comedy,10,3.1
48,5,Sci-Fi,6,3.0
