userId,genre_rank,genre,watch_count,avg_user_genre_rating
1,1,Action,46,3.826
1,2,Drama,45,3.844
1,3,Thriller,43,3.872
1,4,Crime,31,4.21
1,5,Adventure,31,3.694
2,1,Thriller,12,3.917
2,2,Drama,11,4.364
2,3,Comedy,11,3.545
2,4,Adventure,10,4.0
2,5,Action,9,3.889
3,1,Drama,36,3.972
3,2,Comedy,35,3.743
3,3,Romance,22,3.636
3,4,Thriller,21,3.714
3,5,Action,13,3.231
4,1,Drama,76,4.342
4,2,Comedy,46,4.022
4,3,Romance,37,4.162
4,4,Crime,18,3.944
4,5,Thriller,18,3.722
5,1,Comedy,45,3.444
5,2,Adventure,22,3.545
5,3,Animation,21,4.095
5,4,Children,21,3.905
5,5,Romance,21,3.738
6,1,Drama,31,4.258
6,2,Comedy,28,4.214
6,3,Romance,15,4.367
6,4,Adventure,14,4.214
6,5,Thriller,13,4.077
7,1,Action,95,3.737
7,2,Thriller,71,3.718
7,3,Sci-Fi,63,3.54
7,4,Adventure,53,3.566
7,5,Comedy,46,3.5
8,1,Drama,30,4.133
8,2,Comedy,24,3.792
8,3,Romance,17,3.706
8,4,Thriller,16,3.25
8,5,Adventure,12,3.833
9,1,Comedy,53,2.585
9,2,Drama,49,2.694
9,3,Thriller,45,2.867
9,4,Action,39,2.846
9,5,Romance,24,2.5
10,1,Drama,11,3.409
10,2,Comedy,10,3.6
10,3,Romance,8,3.625
10,4,Action,4,3.125
10,5,Thriller,3,3.167
11,1,Comedy,36,3.361
11,2,Adventure,32,3.813
11,3,Drama,32,3.469
11,4,Action,29,3.621
11,5,Thriller,27,3.593
12,1,Drama,10,2.7
12,2,Comedy,8,3.563
12,3,Romance,6,3.5
12,4,Fantasy,4,4.125
12,5,Action,4,2.5
13,1,Thriller,15,3.4
13,2,Drama,11,3.727
13,3,Comedy,10,3.6
13,4,Action,8,3.188
13,5,Crime,7,3.5
14,1,Comedy,12,3.583
14,2,Thriller,8,3.375
14,3,Adventure,7,3.429
14,4,Drama,6,3.667
14,5,Action,6,3.167
15,1,Drama,37,4.878
15,2,Comedy,26,4.846
15,3,Horror,21,4.833
15,4,Thriller,20,4.775
15,5,Adventure,16,4.813
16,1,Action,36,4.333
16,2,Thriller,36,4.25
16,3,Comedy,25,3.36
16,4,Drama,23,3.957
16,5,Sci-Fi,22,4.455
17,1,Comedy,63,4.23
17,2,Action,61,3.877
17,3,Adventure,58,4.293
17,4,Drama,49,3.622
17,5,Sci-Fi,41,4.317
18,1,Thriller,47,3.511
18,2,Action,37,3.0
18,3,Drama,32,3.469
18,4,Comedy,28,3.411
18,5,Crime,24,3.688
19,1,Drama,74,3.858
19,2,Action,29,2.621
19,3,Adventure,24,1.792
19,4,Thriller,20,3.375
19,5,Crime,18,3.361
20,1,Drama,39,3.474
20,2,Romance,19,3.763
20,3,Comedy,16,3.563
20,4,Action,11,3.727
20,5,Thriller,9,4.167
21,1,Adventure,49,4.02
21,2,Action,43,3.756
21,3,Drama,40,3.663
21,4,Sci-Fi,37,3.824
21,5,Fantasy,34,3.985
22,1,Comedy,100,3.095
22,2,Drama,77,3.448
22,3,Action,55,2.727
22,4,Adventure,51,2.814
22,5,Thriller,42,3.226
23,1,Drama,38,3.553
23,2,Thriller,22,3.568
23,3,Action,20,3.45
23,4,Comedy,16,3.469
23,5,Crime,14,3.536
24,1,Drama,152,3.993
24,2,Thriller,98,3.867
24,3,Action,78,3.577
24,4,Crime,69,4.043
24,5,Adventure,55,3.655
25,1,Comedy,144,2.611
25,2,Romance,44,2.614
25,3,Drama,27,2.889
25,4,Adventure,18,3.167
25,5,Action,18,2.778
26,1,Comedy,11,3.0
26,2,Drama,8,3.5
26,3,Adventure,7,2.857
26,4,Action,6,2.417
26,5,Romance,5,2.9
27,1,Comedy,32,4.125
27,2,Drama,14,4.143
27,3,Romance,11,4.182
27,4,Fantasy,9,4.111
27,5,Adventure,7,3.429
28,1,Drama,58,3.552
28,2,Action,48,3.25
28,3,Comedy,47,3.426
28,4,Thriller,37,3.324
28,5,Adventure,36,3.444
29,1,Action,106,3.255
29,2,Thriller,87,3.333
29,3,Drama,82,3.146
29,4,Comedy,77,3.117
29,5,Adventure,61,3.459
30,1,Adventure,48,3.938
30,2,Action,45,4.144
30,3,Comedy,33,3.621
30,4,Drama,30,4.0
30,5,Sci-Fi,24,3.896
31,1,Drama,27,4.0
31,2,Crime,14,3.929
31,3,Thriller,14,3.714
31,4,Comedy,14,3.643
31,5,Action,13,3.846
32,1,Drama,132,4.356
32,2,Comedy,101,3.901
32,3,Romance,61,4.279
32,4,Adventure,59,4.085
32,5,Action,49,4.122
33,1,Drama,65,4.2
33,2,Comedy,35,4.086
33,3,Romance,25,4.04
33,4,Crime,18,4.111
33,5,Thriller,12,4.0
34,1,Comedy,13,3.923
34,2,Drama,9,3.444
34,3,Adventure,7,4.571
34,4,Action,6,4.333
34,5,Sci-Fi,5,4.6
35,1,Thriller,16,3.688
35,2,Comedy,13,3.923
35,3,Action,13,3.769
35,4,Adventure,10,3.7
35,5,Crime,7,4.429
36,1,Drama,17,3.824
36,2,Thriller,13,3.846
36,3,Comedy,11,3.364
36,4,Action,10,3.5
36,5,Adventure,9,3.333
37,1,Drama,25,4.12
37,2,Comedy,24,3.688
37,3,Crime,16,4.406
37,4,Romance,14,3.964
37,5,Mystery,10,4.55
38,1,Adventure,150,2.87
38,2,Comedy,145,3.0
38,3,Children,121,2.707
38,4,Action,114,2.82
38,5,Drama,103,3.257
39,1,Adventure,12,3.833
39,2,Action,12,3.667
39,3,Drama,11,4.273
39,4,Sci-Fi,9,3.667
39,5,Thriller,8,3.5
40,1,Thriller,14,3.0
40,2,Comedy,10,3.5
40,3,Drama,10,2.9
40,4,Action,10,2.7
40,5,Romance,7,3.429
41,1,Comedy,62,4.234
41,2,Drama,50,3.83
41,3,Romance,32,4.109
41,4,Children,17,4.618
41,5,Thriller,17,3.824
42,1,Comedy,35,4.0
42,2,Romance,27,4.685
42,3,Drama,25,4.46
42,4,Adventure,13,4.308
42,5,Action,9,3.611
43,1,Drama,10,3.75
43,2,Comedy,10,2.85
43,3,Adventure,8,2.75
43,4,Romance,6,3.0
43,5,Action,6,2.75
44,1,Drama,88,3.205
44,2,Comedy,68,3.368
44,3,Action,57,3.158
44,4,Thriller,54,3.204
44,5,Adventure,46,3.283
45,1,Comedy,34,3.412
45,2,Drama,26,3.75
45,3,Adventure,21,3.619
45,4,Animation,16,3.406
45,5,Fantasy,13,3.654
46,1,Drama,35,4.057
46,2,Comedy,22,3.318
46,3,Thriller,16,3.75
46,4,Horror,14,3.429
46,5,Action,13,3.769
47,1,Drama,61,3.967
47,2,Crime,25,4.0
47,3,Comedy,22,3.773
47,4,Thriller,18,3.944
47,5,Children,11,4.455
48,1,Comedy,10,3.1
48,2,Action,9,2.056
48,3,Adventure,7,2.214
48,4,Sci-Fi,6,3.0
48,5,Drama,5,4.1
49,1,Crime,22,3.136
49,2,Action,14,3.643
49,3,Thriller,14,3.429
49,4,Comedy,9,3.444
49,5,Drama,8,3.5
50,1,Drama,72,3.278
50,2,Comedy,45,3.133
50,3,Crime,27,3.333
50,4,Romance,25,3.04
50,5,Thriller,25,2.68
51,1,Adventure,10,4.0
51,2,Action,9,4.222
51,3,Thriller,9,4.0
51,4,Drama,8,4.0
51,5,Crime,5,4.2
52,1,Comedy,31,3.79
52,2,Drama,22,3.795
52,3,Animation,22,3.75
52,4,Adventure,20,3.725
52,5,Children,18,3.889
53,1,Action,14,3.429
53,2,Comedy,13,3.769
53,3,Drama,10,4.0
53,4,Crime,9,3.333
53,5,Thriller,8,3.0
54,1,Action,87,3.167
54,2,Comedy,87,2.937
54,3,Adventure,85,3.047
54,4,Drama,77,3.39
54,5,Thriller,62,3.097
55,1,Comedy,12,4.167
55,2,Drama,11,3.5
55,3,Crime,6,3.25
55,4,Thriller,6,3.25
55,5,Action,6,2.917
56,1,Drama,17,4.353
56,2,Comedy,9,4.111
56,3,Thriller,8,4.125
56,4,Crime,7,4.429
56,5,Adventure,6,4.0
57,1,Drama,59,4.254
57,2,Comedy,34,3.956
57,3,Thriller,31,4.226
57,4,Crime,29,4.241
57,5,Action,20,4.15
58,1,Drama,8,1.813
58,2,Action,7,2.143
58,3,Comedy,7,0.929
58,4,Thriller,6,2.417
58,5,Romance,6,1.667
59,1,Sci-Fi,22,3.977
59,2,Drama,16,4.031
59,3,Action,15,4.033
59,4,Comedy,15,3.867
59,5,Thriller,12,4.042
60,1,Comedy,108,3.519
60,2,Drama,82,3.707
60,3,Action,45,3.422
60,4,Thriller,43,3.779
60,5,Crime,42,3.512
61,1,Drama,98,3.633
61,2,Comedy,48,3.042
61,3,Crime,34,3.574
61,4,Thriller,33,3.621
61,5,Action,29,2.966
62,1,Drama,414,2.769
62,2,Comedy,408,1.928
62,3,Thriller,329,2.48
62,4,Action,294,2.104
62,5,Adventure,190,1.989
63,1,Drama,502,3.346
63,2,Action,453,2.951
63,3,Thriller,430,3.059
63,4,Comedy,397,2.88
63,5,Crime,264,3.089
64,1,Comedy,22,2.795
64,2,Action,19,2.447
64,3,Thriller,18,2.889
64,4,Drama,16,2.969
64,5,Adventure,15,2.9
65,1,Drama,23,3.957
65,2,Thriller,22,3.682
65,3,Action,16,3.313
65,4,Comedy,14,2.929
65,5,Crime,12,3.5
66,1,Comedy,216,2.917
66,2,Drama,158,3.323
66,3,Romance,89,3.202
66,4,Adventure,46,3.239
66,5,Thriller,46,3.174
67,1,Comedy,17,3.765
67,2,Drama,13,3.731
67,3,Sci-Fi,5,4.3
67,4,Action,4,4.625
67,5,Thriller,4,2.75
68,1,Drama,23,3.957
68,2,Romance,12,4.0
68,3,Comedy,5,3.6
68,4,Crime,3,3.333
68,5,War,2,5.0
69,1,Drama,166,3.819
69,2,Action,152,3.401
69,3,Comedy,120,3.0
69,4,Thriller,99,3.854
69,5,Crime,91,3.643
70,1,Drama,16,4.344
70,2,Adventure,13,4.038
70,3,Action,12,3.833
70,4,Sci-Fi,10,4.3
70,5,Thriller,10,4.25
71,1,Drama,77,4.201
71,2,Thriller,74,4.216
71,3,Comedy,56,4.08
71,4,Action,51,4.098
71,5,Crime,42,4.19
72,1,Thriller,66,3.273
72,2,Action,56,3.339
72,3,Drama,53,3.623
72,4,Comedy,50,3.66
72,5,Adventure,32,3.625
73,1,Drama,14,4.286
73,2,Thriller,10,4.5
73,3,Crime,5,5.0
73,4,Romance,5,3.8
73,5,Comedy,5,3.0
74,1,Action,20,2.675
74,2,Comedy,20,2.35
74,3,Drama,19,3.342
74,4,Thriller,19,3.263
74,5,Adventure,18,2.611
75,1,Drama,23,3.652
75,2,Comedy,22,4.045
75,3,Adventure,19,3.632
75,4,Sci-Fi,18,3.833
75,5,Action,15,3.6
76,1,Drama,12,4.208
76,2,Action,11,4.091
76,3,Adventure,9,4.333
76,4,Fantasy,5,4.5
76,5,War,5,4.3
77,1,Drama,42,3.643
77,2,Comedy,30,3.7
77,3,Sci-Fi,20,3.7
77,4,Romance,18,3.694
77,5,Action,16,3.719
78,1,Action,27,5.0
78,2,Adventure,20,5.0
78,3,Sci-Fi,18,5.0
78,4,IMAX,16,5.0
78,5,Comedy,13,5.0
79,1,Drama,51,3.784
79,2,Action,34,3.735
79,3,Thriller,34,3.706
79,4,Comedy,31,3.581
79,5,Crime,29,3.845
80,1,Drama,17,4.265
