scope_year,feature_name,entropy_y,conditional_entropy,information_gain,feature_entropy,gain_ratio
all,healthy_life_expectancy,1.535911,1.074706,0.461205,1.584946,0.290991
all,gdp_per_capita,1.535911,1.118952,0.416959,1.584946,0.263075
all,social_support,1.535911,1.147593,0.388318,1.584946,0.245004
all,freedom,1.535911,1.322746,0.213165,1.584946,0.134494
all,perceptions_of_corruption,1.535911,1.43144,0.104471,1.584946,0.065915
all,generosity,1.535911,1.48095,0.054961,1.584946,0.034677
2015,social_support,1.495309,1.108761,0.386548,1.584905,0.243893
2015,healthy_life_expectancy,1.495309,1.130038,0.365271,1.584905,0.230469
2015,gdp_per_capita,1.495309,1.137979,0.357329,1.584905,0.225458
2015,freedom,1.495309,1.219266,0.276043,1.584905,0.17417
2015,perceptions_of_corruption,1.495309,1.36977,0.125539,1.584905,0.079209
2015,generosity,1.495309,1.445411,0.049898,1.584905,0.031483
2016,healthy_life_expectancy,1.552643,1.078349,0.474294,1.584904,0.299257
2016,gdp_per_capita,1.552643,1.093819,0.458825,1.584904,0.289497
2016,social_support,1.552643,1.237716,0.314927,1.584904,0.198704
2016,freedom,1.552643,1.321395,0.231248,1.584904,0.145907
2016,perceptions_of_corruption,1.552643,1.445427,0.107217,1.584904,0.067649
2016,generosity,1.552643,1.482731,0.069912,1.584904,0.044111
2017,healthy_life_expectancy,1.534859,1.044755,0.490104,1.584902,0.309233
2017,gdp_per_capita,1.534859,1.093336,0.441523,1.584902,0.27858
2017,social_support,1.534859,1.148547,0.386312,1.584902,0.243745
2017,freedom,1.534859,1.299938,0.234921,1.584902,0.148224
2017,perceptions_of_corruption,1.534859,1.38196,0.152899,1.584902,0.096472
2017,generosity,1.534859,1.462384,0.072475,1.584902,0.045728
2018,healthy_life_expectancy,1.55032,1.060555,0.489765,1.584963,0.309007
2018,social_support,1.55032,1.091199,0.459121,1.584963,0.289673
2018,gdp_per_capita,1.55032,1.121696,0.428624,1.584963,0.270432
2018,freedom,1.55032,1.361752,0.188568,1.584963,0.118973
2018,perceptions_of_corruption,1.55032,1.417368,0.132952,1.584963,0.083884
2018,generosity,1.55032,1.487328,0.062992,1.584963,0.039744
2019,healthy_life_expectancy,1.532608,1.002878,0.52973,1.584963,0.334222
2019,social_support,1.532608,1.075698,0.45691,1.584963,0.288278
2019,gdp_per_capita,1.532608,1.107019,0.425589,1.584963,0.268517
2019,freedom,1.532608,1.34671,0.185897,1.584963,0.117288
2019,perceptions_of_corruption,1.532608,1.479834,0.052773,1.584963,0.033296
2019,generosity,1.532608,1.484771,0.047837,1.584963,0.030182
