scope_year,combo_name,entropy_y,feature_entropy,joint_entropy,conditional_entropy_y_given_x,mutual_information
all,social_support_plus_health,1.535911,2.848376,3.762058,0.913682,0.622229
all,gdp_plus_social_support,1.535911,2.805069,3.805841,1.000772,0.535139
all,freedom_plus_corruption,1.535911,3.047984,4.302771,1.254787,0.281124
2015,social_support_plus_health,1.495309,2.936069,3.845005,0.908936,0.586373
2015,gdp_plus_social_support,1.495309,2.843418,3.821136,0.977718,0.517591
2015,freedom_plus_corruption,1.495309,3.045275,4.17358,1.128304,0.367005
2016,social_support_plus_health,1.552643,2.898638,3.82808,0.929442,0.623201
2016,gdp_plus_social_support,1.552643,2.857048,3.856874,0.999826,0.552817
2016,freedom_plus_corruption,1.552643,3.011071,4.262628,1.251556,0.301087
2017,social_support_plus_health,1.534859,2.86208,3.730604,0.868524,0.666335
2017,gdp_plus_social_support,1.534859,2.843169,3.793007,0.949838,0.585021
2017,freedom_plus_corruption,1.534859,3.022244,4.212933,1.190689,0.34417
2018,social_support_plus_health,1.55032,2.793773,3.650239,0.856466,0.693854
2018,gdp_plus_social_support,1.55032,2.755135,3.693086,0.937951,0.612369
2018,freedom_plus_corruption,1.55032,3.042762,4.282328,1.239566,0.310755
2019,social_support_plus_health,1.532608,2.684499,3.543066,0.858567,0.674041
2019,gdp_plus_social_support,1.532608,2.676705,3.653075,0.97637,0.556237
2019,freedom_plus_corruption,1.532608,3.088524,4.321828,1.233304,0.299304
